 cenxyz.cvec      radius  cen_line_D sum{s/(area point sourc
    -5.88725     1.58207    -6.80211     1.31237 (mid-point)
    -5.76225     1.56244    -6.66729     1.32867   (sampled)
    -5.63725     1.54820    -6.53276     1.34527 (mid-point)
    -5.51225     1.53806    -6.39824     1.36209   (sampled)
    -5.38725     1.53577    -6.26252     1.37896 (mid-point)
    -5.26225     1.53825    -6.12681     1.39578   (sampled)
    -5.13725     1.52534    -5.99468     1.41288 (mid-point)
    -5.01225     1.51789    -5.86254     1.43015   (sampled)
    -4.88725     1.47955    -5.70700     1.44832 (mid-point)
    -4.76225     1.44851    -5.55146     1.46729   (sampled)
    -4.63725     1.41349    -5.41419     1.48720 (mid-point)
    -4.51225     1.38419    -5.27691     1.50797   (sampled)
    -4.38725     1.35284    -4.94924     1.52971 (mid-point)
    -4.26225     1.35560    -4.62157     1.55136   (sampled)
    -4.13725     1.35117    -4.48974     1.57316 (mid-point)
    -4.01225     1.35216    -4.35791     1.59492   (sampled)
    -3.88725     1.35174    -4.23191     1.61669 (mid-point)
    -3.76225     1.35629    -4.10592     1.63832   (sampled)
    -3.63725     1.36881    -3.98024     1.65956 (mid-point)
    -3.51225     1.38603    -3.85455     1.68027   (sampled)
    -3.38725     1.40743    -3.72865     1.70036 (mid-point)
    -3.26225     1.43296    -3.60275     1.71974   (sampled)
    -3.13725     1.44736    -3.47277     1.73873 (mid-point)
    -3.01225     1.46653    -3.34279     1.75723   (sampled)
    -2.88725     1.48786    -3.21104     1.77520 (mid-point)
    -2.76225     1.51452    -3.07930     1.79255   (sampled)
    -2.63725     1.54385    -2.94552     1.80924 (mid-point)
    -2.51225     1.57845    -2.81174     1.82521   (sampled)
    -2.38725     1.57684    -2.67615     1.84121 (mid-point)
    -2.26225     1.58093    -2.54056     1.85713   (sampled)
    -2.13725     1.56924    -2.38941     1.87329 (mid-point)
    -2.01225     1.56463    -2.23827     1.88955   (sampled)
    -1.88725     1.54071    -2.10238     1.90631 (mid-point)
    -1.76225     1.51904    -1.96650     1.92355   (sampled)
    -1.63725     1.48971    -1.83780     1.94148 (mid-point)
    -1.51225     1.46165    -1.70910     1.96010   (sampled)
    -1.38725     1.43731    -1.57958     1.97936 (mid-point)
    -1.26225     1.41824    -1.45006     1.99914   (sampled)
    -1.13725     1.40328    -1.26186     2.01935 (mid-point)
    -1.01225     1.39890    -1.07366     2.03968   (sampled)
    -0.88725     1.39725    -0.94566     2.06006 (mid-point)
    -0.76225     1.40001    -0.81766     2.08036   (sampled)
    -0.63725     1.40889    -0.68953     2.10041 (mid-point)
    -0.51225     1.42154    -0.56140     2.12010   (sampled)
